step,loss,step_time_sec,elapsed_sec,tokens_processed,tokens_per_sec,vram_used_mb,vram_peak_mb,gpu_util_percent
3600,4.182135581970215,0.04709369991905987,169.32104599988088,1843712,10888.853119896845,444.05322265625,694.25,50
3800,4.556257247924805,0.04169830004684627,178.3874202000443,1946112,10909.46882811368,444.05322265625,694.25,46
4000,4.3922505378723145,0.046782199991866946,187.46203589998186,2048512,10927.609903335091,444.05322265625,694.25,55
4200,3.79758882522583,0.04997309995815158,197.22270009992644,2150912,10906.006250346443,444.05322265625,694.25,53
4400,4.1254425048828125,0.05767750018276274,206.43894620006904,2253312,10915.149691842626,444.05322265625,694.25,54
4600,4.276557445526123,0.04772859998047352,215.8452932999935,2355712,10913.89098175008,444.05322265625,694.25,50
4800,4.236794948577881,0.043454299913719296,225.92662400007248,2458112,10880.134251017762,444.05322265625,694.25,53
5000,4.033029079437256,0.04072619997896254,235.5939587999601,2560512,10868.326221276748,444.05322265625,694.25,52
5200,3.5563158988952637,0.049806700088083744,245.47015519998968,2662912,10848.21084595995,444.05322265625,694.25,50
5400,3.950043201446533,0.06115199998021126,255.08324919990264,2765312,10840.821608920667,444.05322265625,694.25,46
5600,3.55021071434021,0.0431570999789983,264.1338066998869,2867712,10857.042632404646,444.05322265625,694.25,52
5800,3.8478288650512695,0.05296720005571842,273.90238120011054,2970112,10843.688130736124,444.05322265625,694.25,56
6000,3.69024658203125,0.04450200009159744,284.5511101000011,3072512,10797.750881801912,444.05322265625,694.25,50
6200,3.3251309394836426,0.0408456998411566,293.70243689999916,3174912,10809.96137965653,444.05322265625,694.25,53
6400,3.7654170989990234,0.03851219988428056,302.7876309999265,3277312,10823.797488612723,444.05322265625,694.25,51
6600,3.3245911598205566,0.048793899826705456,312.12675740011036,3379712,10828.011120070685,444.05322265625,694.25,50
6800,3.268066883087158,0.04109369986690581,321.5894011000637,3482112,10827.819536616284,444.05322265625,694.25,44
7000,3.362820625305176,0.05394299980252981,331.2253692999948,3584512,10821.972989494849,444.05322265625,694.25,56
7200,3.274440050125122,0.040515700122341514,340.8808073999826,3686912,10815.839202334007,444.05322265625,694.25,51
7400,3.344897747039795,0.03713640011847019,350.7658758999314,3789312,10802.966480927118,444.05322265625,694.25,53
7600,3.615140676498413,0.04642569995485246,359.98471820005216,3891712,10810.770022291008,444.05322265625,694.25,51
7800,3.479969024658203,0.04474699986167252,369.0339897000231,3994112,10823.1548081701,444.05322265625,694.25,50
